,Beer Names,Rating,Locations,Reviews,Users
35,Bend Coffee N' Cream,3.4,"Bend, Oregon","Draught. Pours clear gold with a medium, frothy white head, medium retention with light lacing. Moderate rich coffee, chocolate notes, light biscuit malt, and a dry finish. Medium-light body and moderate carbonation.",BeerandBlues2
36,Lovelady Pomology Saison,4.1,"Henderson , Nevada","On tap at Big Dog's, I assume the pom in the name refers to pomegranate as this had a nice light fruit flavor. Definitely didn't see the 9%.  I liked this quite a bit, but I have a bias towards pomegranate beer.",dwyerpg
37,Able Baker Buster-Jangle Winter Warmer,2.1,"Las Vegas, Nevada","On tap at Big Dog's, this was super sweet. The sugar was just off the charts. A bit creamy but just too sweet to enjoy.  A rare miss for Able Baker, imo.",dwyerpg
38,Hopfenhäcker Isle of Islay Rum Smokey Sten,3.6,"München, Bavaria","Sampled @ Braukunst Live 2020. A very dark brown beer with a beige head. Aroma of bourbon, rum Barrel, dark roasted malt. Taste of dark roasted malt, coffee, burned malt rum barrel.",Beerhunter111
39,Hopfenkopf s'Weibal ,3.1,"Feichten an der Alz, Bavaria","Sampled @ Braukunst Live 2020. A slightly hazy yellow golden beer with a white head. Aroma of sweet banana, quite yeasty. Taste of sweet banana, yeast, some phenols, quite sweet.",Beerhunter111
40,Hopfenhäcker Barley Wine,3.5,"München, Bavaria","Sampled @ Braukunst Live 2020. A slightly hazy dark amber beer with a off white head. Aroma of strong caramelized malt, red malt, caramel, honey. Taste of strong caramelized malt, honey, riped fruits, boozy.",Beerhunter111
41,Glen Affric Speyside BA Black Brose,3.6,"Birkenhead, Merseyside","Puszka. Czarny kolor. Piana beżowa,średnia opada dość szybko. W zapachu raczej nikłe nuty whiskey, można złapać ulotne akcenty beczki i palonej kawy,palony słód. Delikatna tekstura i raczej małe wysycenie przypominają bardziej stouta niż portera. W smaku kawa,delikatna whiskey ,beczkowe nuty,lekki tytoń li skóra. Bardzo fajne...zobaczymy co się stanie po ogrzaniu..chyba tylko więcej goryczki,brykietu i tytoniu..",MarcinG
42,Deschutes Luna Jo,3.6,"Bend, Oregon","Draught. Pours clear brown with a small, frothy off-white head, short retention. Moderate rich chocolate coffee notes, roast and bread malt, light hop bitterness, and a dry finish. Medium body and carbonation.",BeerandBlues2
43,Deschutes Almond Oat Sour,3.2,"Bend, Oregon","Draught. Pours clear gold with a medium, frothy white head, medium retention with light lacing. Medium acidity, tart peaches, light almond notes, light bread malt, and a dry finish. Medium body and carbonation.",BeerandBlues2
44,Glen Affric Nutty About You,3.3,"Birkenhead, Merseyside","Puszka. Czarny kolor. Piana zbita,beżowa,o średniej wysokości ,ładnie utrzymuje się w szkle. W zapachu mleczna czekolada,lekkie nuty masła orzechowego,kawa Inka. W smaku podobnie ,słodka ,mleczna czekolada,kawa słaba...Inka. ślady wytrawnego kakao..z lekka goryczka. piwo ratuje kremowa konsystencja i bardzo delikatne wysycenie...mimo wszystko jest raczej ok niż wow...",MarcinG
45,Deschutes Earl Grey IPA,3.4,"Bend, Oregon","Draught. Pours clear orange with a medium, frothy off-white head, medium retention with light lacing. Moderate bitter orange pith hops, medium herbal and savory bergamot, medium biscuit malt and a dry finish. Medium body and carbonation.",BeerandBlues2
46,Flaschenbierfreunde Unsere Elfriede,3.0,"Dortmund, North Rhine-Westphalia","Im Geruch malzig süßlich. Goldgelbes klares Bier, schnell einfallende grobe Schaumkrone. Der Antrunk ist süßlich hopfig-malzig. Traditioneller Hopfen im Aroma. Sehr mild, kaum bitter. Leichte Säure. Feinperlig. Relativ eintönig, leistet sich jedoch keine geschmacklichen Fehler. Besser als das typische Durchschnitts-Export.",ichijo3
47,Mad Squirrel Indulgence,3.5,"Hemel Hempstead, Hertfordshire","Keg at MS HW, 06/02/20.
Black with a tan cap that veers edgeward.
Nose is dark malts, cocoa powder, toffee, dried fruits, light charr, mellow roast, light coffee.
Taste comprises sweet malts, chocolate, pecan nut, caramel melt, toffee fudge, light booze tunes, brown sugars, mellow roast.
Full bodied, fine carbonation, semi drying close with a balanced rising boost level.
Ok easy drinking impy, ABV considered, but lacks a little depth and struggles to pull out of third gear.",Theydon_Bois
48,Mad Squirrel Sapling,3.6,"Hemel Hempstead, Hertfordshire","Keg at MS HW, 06/02/20.
Almost clear golden with a decent lasting just off white head.
Nose is orange peel, citric tinged straw, toasted malts, lemon drizzle, light pine, melon.
Taste comprises orange zest, citric sherbets, grass, light pine, hint floral, melon, tangerine.
Medium bodied, fine carbonation, semi drying close spiked with juicy to grassy hop bitterness.
Decent well balanced session gear.",Theydon_Bois
49,Blue Spruce Belgian Holiday Spiced Ale,3.2,"Centennial, Colorado","December 14th, 2015 - The smell of Christmas hangs heavy over this hazy, cinnamon colored beer. Vanilla and custard tease rich desserts, while cinnamon and clove give the scent it's holiday cheer. The flavor is weaker than the aroma, with an odd tanginess, but I do find comfort in the brusque, rye focused aftertaste.",GarrettB
50,North Brewing Co Tunnels Of LA,3.4,"Leeds, West Yorkshire","Draught at Mikkeller Bar Viktoriagade.
Clear golden coloured with a small white head.
Fruity aroma of hops and citrus.
Fruity flavour of hops and citrus.
Hoppy finish.
",joergen
51,Mayfayre Medium,1.6,"Priors Frome, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Grågul. Luftig skumring. Stikkende pærearoma. Smaken maling. Ikke god. Forsiktig tørr avslutning.,Finn
52,Beowulf Wulf,2.6,"Brownhills, Staffordshire",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. 0 skum. Smørmaltaroma. Smaken mye smørmalt. Litt fersken. Lett tørr avslutning.,Finn
53,J.W. Lees The Boilerhouse Brandy Snap Stout,2.8,"Middleton, Greater Manchester","Pint @ The Boathouse,Chester .Czarny kolor. Piana raczej nieśmiała,biała,kremowa,opadła szybko. W aromacie delikatne nuty brandy lecz dominują dziwne ziołowe akcenty. W smaku ponownie oprócz delikatnej kawy i czekolady nie ma zbyt wiele w ofercie. Można by powiedzieć że pije się DR. Peppera...jest ziołowo,taka cola na sterydach. Mało ciała,wodniste...raczej nie weszło.",MarcinG
54,ShinDigger Shingri-La,3.6,"Manchester, Greater Manchester","Cask @ Bear & Billet ,Chester. Mętne o złotym kolorze. Piana biała,zbita,opada dość szybko. W aromacie cytrusy,mix tropików i lekkie nuty żywicy. W smaku ponownie spora dawka cytrusów ale w słodkim wydaniu ,tropiki z ananasem na czele,morele,mango,,lekka teina. Średnia goryczka,średnie wysycenie. Weszło bardzo fajnie..",MarcinG
55,Glen Affric / Black Lodge Over The Water,3.5,"Birkenhead, Merseyside","Puszka. Złoty kolor. Piana średnia,biała,opada szybko do pierścienia. W aromacie tropiki,słodkie cytrusy, trochę chlebowych nut. W smaku ponownie słodkie akcenty mango i marakuji, mandarynki i czerwony grejpfrut, ciastka Średnia goryczka i lekko oleiste tekstura. Dość spora dawka alkoholu ,który w końcowej fazie ""niewinnie"" rozgrzewa. Porządne i bez zbędnych fajerwerków",MarcinG
56,Hop River Darkest Midnight,3.9,"Fort Wayne, Indiana","Pours black with a small tan head. The aroma is of roast malt, coffee, and bourbon. The flavor has a pretty balanced bourbon taste that goes well with the roast malt, coffee, and chocolate. Full body. Very good.",patrick767
57,Hop River Green Hill Zone,3.5,"Fort Wayne, Indiana",This amber brew smells of toasted caramel malt. It has a pretty assertive flavor the style with the caramel joined by a good hops bite. It's still easy drinking and overall is an enjoyable brew.,patrick767
58,Burns Family Artisan Ales Genie^Logical V2 Apple and Sunflower,3.9,"Denver, Colorado","On tap at Burns Family poured a clear yellow with a lasting creamy white head. Aromas of straw, nuttiness, light apple and light yeast. Palate was light bodied and crisp with a dry tart finish. Flavors of straw, apples, light nuttiness and light citrus with a crisp dry tart lingering apple finish.",Ratman197
59,Kuehn Kunz Rosen FantHazya,2.5,"Mainz, Rhineland-Palatinate","Tap. Hazy amber color with white head. Aroma is juicy fruits, oxidized, peach. Taste is sweet creamy, juicy fruits. Oily mouthfeel, medium carbonation. Not for me.",SinH4
60,Wildbräu Per Annum,2.9,"Grafing, Bavaria","Tap. Hazy brown color with beige head. Aroma is cherries, chocolate, mildly roasty. Taste is the same, a bit bready. Thick mouthfeel, medium carbonation. Alright.",SinH4
61,Higgins Colorado Trekker IPA,3.3,"Munich, Bavaria","Tap. Hazy golden-orange color with white head. Aroma is bready, grapefruit. Taste is bready, sweetish fruits, peach. Oily mouthfeel with medium carbonation.",SinH4
62,Hopfenhäcker Barley Wine,3.5,"München, Bavaria","Tap. Unclear golden color with white head. Aroma is exotic fruits, jammy, white sugar. Taste is fruity, white sugar, Maibock-style, a bit estery but not too much. Oily mouthfeel with medium carbonation. Nice!",SinH4
63,BraufactuM Jubiläumsbier,3.6,"Frankfurt, Hesse","Tap. Hazy golden color with white head. Aroma is peach, white pepper, fruity. Taste is dank, peach, white pepper, dough. Silky mouthfeel with medium carbonation. I like!",SinH4
64,By The Horns Heave,2.5,"Wandsworth, Greater London","Cask at By the Horns Brewery, Summerstown.  A light golden bitter.  These Bullian hops are a little spicy and savoury, which gives the beer a fairly unusual flavour.  I just think it’s a bit too weak a beer to properly balance out the hop flavours.",Beese
65,Bitburger / Sierra Nevada Triple Hop'd Lager,3.3,"Bitburg, Rhineland-Palatinate","Tap. Hazy golden color with eggshell head. Aroma is a bit buttery, fruity hops. Taste is a bit buttery, not in the bad way. Thick creamy mouthfeel with soft carbonation.",SinH4
66,Hopfenhäcker Barley Wine,3.7,"München, Bavaria","Sample at BKL2020. Cloudy amber, off-white head, dry fruitbread aromatics, caramel medium full dry, fruit sirup, lightest booze, a hint chalk, nice tropical retronasal. Good.",jonas
67,Hopfenkopf s'Weibal ,2.8,"Feichten an der Alz, Bavaria","Bottle. Unclear golden color with white head. Aroma is wheat, peach, a bit dusty. Taste is the same. Oily mouthfeel with low carbonation. Not quite for me.",SinH4
68,Hopfenhäcker Isle of Islay Rum Smokey Sten,3.9,"München, Bavaria","Tap. Clear golden color with soapy beige head. Aroma is intense rum, mild smoke, chocolate. Taste is the same, surprisingly drinkable. Silky mouthfeel with low carbonation. Nice one!",SinH4
69,Hopfenhäcker Isle of Islay Rum Smokey Sten,3.7,"München, Bavaria","Sample at BKL2020. Dark brown, off-white golden foam, perfumed smoky iodine nose, mellow sparkly dry smoked base, vanilla barrel and toasted finish, nice!",jonas
70,Hopfenkopf s'Weibal ,3.5,"Feichten an der Alz, Bavaria","Sampled at BKL2020. Nice fruity hop nose, cloudy dark yellow, white lace, mellow medium body, dry fruits, fresh, lychee citruspeel. Nice.",jonas
71,Bitburger / Sierra Nevada Triple Hop'd Lager,3.5,"Bitburg, Rhineland-Palatinate","Tap at BKL2020. Leafy green light spice, medium mellow, light butter, grain, croissant, leafy hops, a hint copper. very fresh and  pleasant.",jonas
72,Schoppe Café Cubano,4.2,"Berlin, Berlin","Sampled @ Braukunst Live 2020. A black beer with a beige lacing. Aroma of sweet coffee beans, dark roasted malt. Taste of fresh roasted coffee beans, vanilla. Nice!",Beerhunter111
73,Schoppe Café Cubano,3.7,"Berlin, Berlin",31-01-20 // taster at Braukunst Live! in Munich. Lovely coffee aromas. Rich in taste and fullbodied. Rum not so really present. But I do like it.,rhoihessegold
74,Ancient City Augustine's Orange Amber Ale,2.9,"Saint Augustine, Florida","Aroma : Light caramel malt, unusual sweet orange note rather than citrus orange.  Taste : Malt is sublte, sweet orange comes through and although not overpowring, for me lacks some bittering balance. Still an o.k. beer though (Florida tour Nov 2018)
",FACambridge
75,Sunriver Tears of Joy,3.6,"Sunriver, Oregon","Draught. Pours clear brown with a medium, frothy white head, medium retention with good lacing. Moderate rich bready, biscuit, and toasted grain malt, dark fruits, and a dry finish. Medium body and carbonation.",BeerandBlues2
76,Sunriver Czech Meowt,3.5,"Sunriver, Oregon","Draught. Pours clear dark gold with a medium, frothy white head, medium retention with good lacing. Medium rich bready malt, sulfur notes, medium floral and spicy hops, medium hop bitterness, and a dry finish. Light body and moderate carbonation.",BeerandBlues2
77,Fieldwork Saint Thomas O.G.,3.8,"Berkeley, California","From can to pint glass.  Aromas of citrus and lemon.  Slight grainy malt.  Crystal clear pale yellow with sustained, small white head.  Beautiful beer.  Flavor is lemon cake and slight curd.  Dry finish, follows through to a nice carbonic bite.  Very good beer.",Zymurgeist2
78,Boss Rambler Over Dós,3.5,"Bend, Oregon","Draught. Pours clear black with brown highlights and a medium, frothy beige head, short retention. Moderate rich chocolate and coffee, light nuttiness, and a medium dry finish. Medium body and carbonation.",BeerandBlues2
79,Boss Rambler Churro Stout,3.8,"Bend, Oregon","Draught. Pours clear dark brown with a medium, frothy off-white head, short retention. Medium rich toasted bread malt, cinnamon, vanilla, and cocoa with a dry finish. Medium body and carbonation.",BeerandBlues2
80,Boss Rambler Bro? Brah!,3.4,"Bend, Oregon","Draught. Pours clear gold with a medium, frothy white head, medium retention. Moderate orange and melon hops, medium hop bitterness, medium bread malt, and a dry finish. Medium body and carbonation.",BeerandBlues2
81,Elysian Contact Haze,3.8,"Seattle, Washington","Cloudy pale gold pour with a one finger white head. Aroma is very lemony and tart floral. Flavor is juicy lemon-lime citrus, straw, pale malt, wildflower. Light body, dry feel light carbonation. Good stuff, interesting hop profile.",fidelis83
82,GoodLife / BossRambler BossLife,3.6,"Bend, Oregon","Draught. Pours hazy dark amber with a medium, frothy white head, medium retention. Moderate orange and fruit hops, honeydew and cantaloupe notes, light bread malt, medium hop bitterness and a dry finish. Medium body and carbonation.",BeerandBlues2
83,Boss Rambler Ski Barbie,3.8,"Bend, Oregon","Draught. Pours hazy orange with a medium, frothy white head, medium retention with good lacing. Moderate orange and dank hops and hop bitterness, medium bread malt, and a dry finish. Medium body and carbonation.",BeerandBlues2
84,The Ale Apothecary Farmhaze,3.9,"Bend, Oregon","Draught. Pours hazy orange with a medium, frothy off-white head, long retention with light lacing. Moderate fresh grassy and herbal hops, medium bread malt, funky Brettanomyces, and a dry finish. Medium body and carbonation.",BeerandBlues2
85,The Ale Apothecary Fantabosco,4.0,"Bend, Oregon","Draught. Pours hazy orange with a large, creamy white head, long retention with good lacing. Moderate lime and orange, medium tartness and acidity, medium bread malt, and a dry finish. Medium body and moderate carbonation.",BeerandBlues2
86,Bell's Goin' Dark,3.8,"Comstock, Michigan","Bottle with much love to Scott, the facilitator of all good things.  Pours a deep, dark brown (thin looking liquid though) with a thin head.  Aromas of leather, charcoal, and coffee.  Flavor is a nice and clean stout with a touch of bourbon, coffee, and smoky charcoal.  Nice and light for a beer with this much flavor.",MrBunn
87,Willibald Party House Special,3.5,"Ayr, Ontario","A good hopped beer, surprisingly drinkable despite at eight weeks.  Can from the source, thanks Brian.",Sammy
88,Saint Arnold Honey Agave Cider,3.7,"Houston, Texas","Can. Clear golden with whitish colored bubbles. Aroma of honey, apples, and a little agave. Sweet with a hint of tart. Medium bodied with a touch of fizz on the tongue. Well done.",rougeau13
89,The Ale Apothecary Bergamont La Tache,4.0,"Bend, Oregon","Cask. Pours clear golden orange with a bubbly white head, short retention. Moderate savory bergamot flowers, oregano, light tartness, medium bread malt, and a dry finish. Medium body and light carbonation.",BeerandBlues2
90,Surly Bourbon Barrel-Aged Mole Darkness,4.2,"Minneapolis, Minnesota","On tap at Champps in Brookfield. 2019 version! Very dark brown pour. Aroma has sweet barrel, cinnamon, some chiles, sweet malts. Taste is of cinnamon, sweet barrel, cherry, sweet malts, and tangy chiles. Well done and tasty. The chiles provide a solid heat. Medium to full bodied, with some alcohol presence, the blend is good. This does not have the typical Darkness full body, but still solidly supports the barrel & chiles. Unsure how this would age. Lovin the cinnamon/barrel taste blend. Finishes sweetly, with barrel & cinnamon. This has an interesting blend. Multi dimensional with the chiles. Still would like more of the typical Darkness thickness. 16.3

",AWISLguy
91,Third Space Why Wouldn't Cha?,4.3,"Milwaukee, Wisconsin","On tap at Champps in Brookfield - In a teku! Go Tony ... Unclear orange pour. Orange, pineapple, tropical fruit mousse with a solid dry hop presence. Super hoppy. Juicy. Pale malts. Bitter-sweet fruity finish. This is really good; hoppy, juicy, tasty. 16.6",AWISLguy
92,MobCraft/O'so Kringle Monster,3.8,"Milwaukee, Wisconsin","12oz can from Three Cellars in the Falls. Dark brown pour with reddish tints. Aroma has sweet malts, berry, chocolate, and pastry filling. Taste is thicker than expected; sweet malts, raspberry, cream. Well blended and fairly tasty, staying away from getting too sweet. Medium bodied or a bit more. Finishes to the sweet side of bittersweet. Enjoyed this more than expected. 14.2",AWISLguy
93,3rd Planet / Urban South Coastal Connects,3.9,"Niceville, Florida","Taster at the Mothership. Pours a hazy, straw color, with a big, frothy, white head. A little lime juice, cream, lemon peel, vanilla, and a lot of floral notes. Very sweet and phenolic. Smooth, light, and silky. Delicious!",GTAEgeek
94,GoodLife Bend Reality,3.4,"Bend, Oregon","Draught. Pours clear black with a small, frothy beige head, short retention. Moderate rich coffee, light nuttiness, earthy, light hop bitterness, and a dry finish. Medium body and carbonation.",BeerandBlues2
95,Niagara College Trendwrecker,3.3,"Niagara On The Lake, Ontario","473 ml can from the brewery. Pours a murky rhubarb colour with small pinkish head.  Aroma is tart raspberry, lemon and grains.  Flavour has tart candyish raspberry, lemon and mellow grains.  Lighter carbonation.  Decent.",Spab
96,Listermann Barrel Aged Imperial Nutcase - Chocolate Fluff,3.9,"Cincinnati, Ohio","12 oz. bottle from the brewery. Pours a hazy dark brown with amber highlights and a layer of oil atop the liquid. The head quickly vanishes. Notes of peanut butter, chocolate, toasted marshmallows, fudge, vanilla, roast, oak, and bourbon. Medium-bodied, with low carbonation and a roasty, nutty, sweet, warming, slightly flat mouthfeel. A little messy and could use more carb, but the aroma is all roasted peanuts and that's fun. Somehow this one is more peanut buttery than others; I guess these particular adjuncts enhance that aspect.",phaleslu
97,Fieldwork Bloomage,3.4,"Berkeley, California","Tap. Pours hazy yellow,  small white head,  decent lacing.  Aroma is pungent,  oranges,  armpits,  overripe peaches.  Flavor is light plus sweet,  light bitter.  Medium body.",bytemesis
