,Beer Names,Rating,Locations,Reviews,Users,City
24,Knee Deep Oopsie Dhazy,1.6,"Auburn, California","Orange can from chalet.  Not really a hazy IPA but rather clear. First taste is big bitter IPA, whew. Has a muted perfumy IPA nose. Lots of citrus on the tongue. Maybe I can find some hints of guava and passion fruit, but not much. Yes, lots of IPA bitterness, but good co2 for an IPA. Terribly on style, rude crude and nasty. Hey, IPA, I'm calling your name. I need to impeach this style, get it off ratebeer, heheheheh. Call in the witnesses; IPA is ubiquitous,the new cheap macro brew.",cheap,Auburn
25,Time and Tide Squid Ink Gose,3.5,"Worth, Kent",Can from Hoptimism. Reddish deep brown colour with a thin head. Aroma and taste herby and fruity. tart. Not sure what squid ink adds? Crisp body.,Mr_Pink_152,Worth
26,Northern Monk Patrons Project 25.01 Everyday Abstract ,1.2,"Leeds, West Yorkshire","Can from Hops and Crafts Exeter. Pours slightly murky orange with a white head. Aroma of white grape ,onion ,wild garlic ,rubber plus some orange. Taste of of more grape,slightly burnt rubber,melon Plus a little orange squash . lightish bodied with a smooth lightly carbonated mouthfeel. The finish is slightly dry and bittersweet with more weak orange squash,grape,burnt rubber & sweaty groin. Can’t believe the charge nearly £8 for this ! AVOID unless you like pouring beer down your sink as this is a definite sink pour!",6bottlepack,Leeds
27,Argus (Spain/Portugal),4,"Neckarsulm, Baden-Württemberg","Calidad y precio excelentes, semanalmente me suelo llevar 2 packs de esta cerveza ya que como digo, es barata y buena, si no eres un tikismikis o un lujos te encanta.",pillman,Neckarsulm
28,Steel Reserve 211 High Gravity,5,"Milwaukee                       , Wisconsin",Definitely bang for your buck. It’s cheap. Has a sweet taste to it. It will creep up on you with it’s abv. Have a couple of these and call it a night. Very refreshing. Cheers.,cah,Milwaukee                       
29,Alexander Keith's Original Cider,4.2,"Halifax, Nova Scotia",My favorite cider. Pours golden color with fizzy white head. Lively big bubbles carry aroma of apples to your nose. Taste of crisp apples followed with bit of acidity and low sweet finish to it. Medium body texture with crisp tingling feeling on your tongue.,Raistlin,Halifax
30,Figueroa Mountain Point Conception,1.6,"Buellton, California","Can from chalet.  Pour is clear and pale. Big white head. Smell is sharp floral IPA and so is the taste. Its terribly on style and it provides a kick. What else can be asked from one of a million ubiquitous, really effin straight up ass, on style  IPA? Go figger. Same as it ever was. Gimmie a smooth clean pale lager for a chaser please. I must say hover, its got some pretty decent co2 to set of the bitter terribleness.",cheap,Buellton
31,Florisgaarden Passion,4.1,"Melle, Belgium","Fruit beer muy cuadrada, el sabor de la fruta de la pasion esta totalmente integrado en la cerveza",Tasche39,Melle
32,Anchor Steam Beer,1.6,"San Francisco, California","Amber with a three centimetre thick head.
Smell of malt with wooden and caramel notes. In taste a disagreeable bitterness covering all the other flavours. Low carbonation.",ophone,San Francisco
33,Mongozo Banana,0.5,"Melle, Belgium","Aroma : Massively overripe super sweet bananas.   Taste : as nose + synthetic chemicals, sweetness completely overpowering, not beer as I know it - revolting - poured 50% away
",FACambridge,Melle
34,Stone Ruination Double IPA 2.0,0.9,"Escondido, California","The one I'm drinking has been brewed in Germany.

Orange hazy with a frothy head.
Smell of passion fruit, peach and grapefruit with a grainy, milky note, but also this funky rotten fruit note present in some beers of the bigger IPA family. In taste this funky fruit note is even stronger.
Not my kind of beer.",ophone,Escondido
35,Oskar Blues Old Chub,2,"Longmont, Colorado","Prior occasions, I thought this was decent. Today, taste very fishy (chub is fish or fish bait, right?)￼",malts-a-meal,Longmont
36,Badger The Blandford Fly,0.5,"Blandford Forum, Dorset","The worst tasting beer I have ever had, drinking cough medicine is more enjoyable",KegTapper47,Blandford Forum
37,Knee Deep Sac Fly-PA,1.2,"Auburn, California","Big pounder can from chalet.  Its NE IPA, really cloudy. Big head. Mild off perfume aroma.Difficult first taste, really bitter as hell, like any good IPA should be. At least it don't smell like BO, thankfully. Yes, long biter bullshit, negative nellie, whew.  Who put hand soap in this stuff? heheh. Yas, so terrible, terribly on style. What else can be said except its just another ubiquitous IPA, not sure what beerdrinkers find in this straight up ass style.",cheap,Auburn
38,Dubuisson Cuvée des Trolls,1.3,"Pipaix, Belgium","Bladozłoty, lekko zamglony. Piana słaba. W aromacie koncernowo, siarkowo, słodowo, ziołowo. W smaku koncernowo, kukurydza, gorycz chmielu i lekko sciągająco. Wytrawnie, nudnie, jałowo.",Poncjusz,Pipaix
39,Evil Twin Soul Made,2.3,"Queens, New York",Dåse: Lige efter en for gammel får jeg denne som bare er off. Duft af sur sæbe. Smagen er også sæbeagtig. Virker derudover gammel. Der er helt sikkert gået noget galt. Mærkeligt når det er en dåse.,Defreni,Queens
40,New Belgium Voodoo Ranger Starship IPA,1.4,"Fort Collins, Colorado","Tap at bowsers in monaca. I'm so tired of ubiquitous IPA and I'm especially tired of NB revamping the ranger by just slapping a new label on any ubiquitous IPA, quite rude. I'm done ticking these things they always taste the same, my immature taste buds cannot differentiate between these. Anyway, this is just another bitter IPA. Big stupid straight up ass insult to my lager loven taste buds. Whew, rubber chewing on inner tube long bitter finish as well. Just like any other terribly on style IPA, go figger.",cheap,Fort Collins
41,Southern Tier Cinnamon Roll,1.5,"Lakewood, New York","Tap at bowsers, thot I did this one already. A darker brew. Smells like some kind of sweet cinnamon cookies. Taste is flat and bitter with too much of that holiday spice thing going on, comes across as quite rude on the palate. Not good, just too much spices. Seems more like a medicine. Difficult to finish. Good example of a poorly made holiday brew, whew.",cheap,Lakewood
42,Rhinegeist Pure Fury,1.7,"Cincinnati, Ohio",Tap at bowsers. Pale  and it has a mild perfume hop nose. Very bitter up front with lots with lots of green grapefruit rind in there. Mellows out just a bit in the middle. Interesting. Not as bad as I thought it would be if that's any consolation.,cheap,Cincinnati
43,Breckenridge Vanilla Porter,4.8,"Denver, Colorado",A very good Vanilla Porter. I like it just as much as Leinenkugel's Snowdrift. In a tasting they were both hard to tell apart.,LagerChecker34,Denver
44,Goose Island 312 Urban Wheat Ale,1.2,"Chicago, Illinois","Pours headless, malty aroma and grassy spiced fruit finish. Have seen this in a mix pack with midway and other goose island beers, I like their other stuff but this would be a reason for me not to buy the selection pack, it’s very different and far from hoppy like Midway and their ipa.",MeadTrub23,Chicago
45,Ruddles County (Filtered),1.1,"Bury St. Edmunds, Suffolk","500ml bottle from Tesco, Watford and drunk on 09/05/2007.  Crikey, I remember having a bottle of this some years prior, when it still had a peal off top, and don’t remember it being so bad.  This was simply a greAt example of terrible, pasteurised bottled bitter.",Beese,Bury St. Edmunds
46,Vocation Dark Mystic,1.9,"Cragg Vale, West Yorkshire","25th January 2020
Can. Semi opaque dark brown beer, small bubbly tan head. Thin and mildly dry palate, reasonable fine carbonation. Cereal streaked dark malts with a weird tea like twist. Thin dry finish. WTAF? Jaysus! Shocking!",madmitch76,Cragg Vale
47,Coors Light,3.1,"Golden, Colorado","Same as coors banquet but less carbonated, not very bitter, nice and refreshing",BubbleAromas23,Golden
48,Beachwood / Alesmith Boom Crash Hopera,1.1,"Long Beach, California","Pounder can from chalet premiere.  Lots of strong volatile boozy rubbery inner tube hops on the  nose. Cloudy off pale. Big thick head. Big bitter biting hops from the start, difficult and nastily on style, wheeeeew. Much more medicine than my lager lovin taste buds can handle. So big, so bad, so triple IPA. Thick and viscous on the palate as well as mouth coating like chewing on rude ass partially fermented pine needles ground up into green grapefruit rinds. One big ass kicking imperial experience. If you want to catch a buzz on one beer, this is the one for you as long as you can put up with its slick impact bitterness. 
​
63",cheap,Long Beach
49,AleSmith / Beachwood Boom Crash Hopera,1.1,"San Diego, California","Pounder can from chalet premiere.  Lots of strong volatile boozy rubbery inner tube hops on the  nose. Cloudy off pale. Big thick head. Big bitter biting hops from the start, difficult and nastily on style, wheeeeew. Much more medicine than my lager lovin taste buds can handle. So big, so bad, so triple IPA. Thick and viscous on the palate as well as mouth coating like chewing on rude ass partially fermented pine needles ground up into green grapefruit rinds. One big ass kicking imperial experience. If you want to catch a buzz on one beer, this is the one for you as long as you can put up with its slick impact bitterness.",cheap,San Diego
50,New Holland Dragon's Milk,1.3,"Holland, Michigan","Bottle at Delano Skyfall Lounge in Las Vegas, NV. Drank from the bottle. Starts out with some classic stout flavors and then the 11% ABV takes over and drowns out everything. WAY too strong to enjoy. Couldn't finish it.
",Kleg,Holland
51,Warsteiner Premium Verum,4.8," Warstein , North Rhine-Westphalia","Quite simply the best lager I've had. A classic on draught or bottled. Excellent in a frosty glass in summer. Refreshing, tasty, almost perfect German lager.",scottlad, Warstein 
52,Siren Bourbon Aged Primal Cut,1.1,"Finchampstead, Berkshire","Bottle, twice by accident. Oh well... Dark fruit, chocolate, light vanilla, port wine. Unfortunately ridden with nail polish and booze. No body. It is beyond me how such an abomination was not called off from the market. Nail polish mostly. Ugh.",ElDesmadre,Finchampstead
53,Aslin Triple Orange Starfish,2.3,"Herndon, Virginia","16 oz. can, pours an opaque, murky golden yellow with a small white head. Aroma is very dirty, with lots of chalky yeast, dank hops... just very dirty. Flavour is brutal, with very dirty earthiness, chalky yeast, and dank hops. Rough and dirty. How is this rated so highly?",mcberko,Herndon
54,Northern Monk Campfire Strannik,1.8,"Leeds, West Yorkshire","Can. Marshmallows, pear drops, burned caramel, light milk chocolate, molasses, vanilla cheesecake, light solvent. Medium body, excessively sweet. Ridiculously over the top. Not enjoyable.",ElDesmadre,Leeds
55,Fagnes Quatres Ceréales,1.2,"Mariembourg, Belgium","Bière ambrée de 7,5 % abv, en format 75 cl avec bouchon de liège.
Mon exemplaire était juste à 4 ans après sa date.
Couleur ambré orangé, aux reflets rouquins, et à la clarté pure.
Bulles moyennes, en fontaine centrale, très nombreuses et bien vives.
Mousse blanc cassé, soyeuse, stable à 2 mm.
Arômes de pommes cuites, caramel, cookie. Nez très pauvre.
1ère bouche fluide, sur un ensemble peu malté et au goût cerisé !!
Arrière-bouche avec une touche de guimauve.
2ème bouche fruitée, sucrée, très mal assemblée.
Arrière-bouche courte, sans personnalité.
Longueur sur un ensemble très quelconque de bière aux fruits rouges !!
Jambes à gros flocons, courtes.
Levure correcte.
Alcool faible, sous son niveau, il est parti moissonner d'autres céréales.
Finale banale.
CONCLUSION : cette bière est un paradoxe pur, puisqu'en utilisant
4 céréales au brassage, on trouve une bière fruitée et sucrée !!
L'âge ne l'a aucunement aidée, et la texture est très faible …
(2/2/2/2/4)",corkyrory66,Mariembourg
56,Track / Zagovor Uzon,1.9,"Manchester, Greater Manchester",Fra trefat på Manchester Beer & Cider Festival 2020. Spandert. Utrolig stygg. Ser ut som flytende sennep. Aroma av tropisk juice. Smaken mango. Stikkende.,Finn,Manchester
57,Bush caractère,0.5,"Pipaix, Belgium",Une bière infecte.  Le goût d’alcool est trop présent.  Aucun équilibre. Le goût d’un bain de bouche.,AcctError499359,Pipaix
58,Milwaukee Special Reserve Ice,3.5,"La Crosse, Wisconsin","24 ounce can into lager glass, canned on 9/10/2018. Pours crystal clear pale golden yellow color with a 1 finger fairly dense and rocky off white head with great retention, that reduces to a small cap that lingers. Nice spotty soapy lacing clings on the glass, with a fair amount of streaming carbonation. Aromas of cracker, corn, and white bread dough; with light notes of biscuit, wood, pepper, and herbal/floral/grassy earthiness. Some fruity corn aromas, but not overwhelming. Nice and pleasant aromas with pale malt/grains and light earthy hop notes; with solid strength. Taste of cracker, corn, and white bread dough; with light notes of biscuit, wood, pepper, and herbal/floral/grassy earthiness. Light herbal, floral, woody, grassy, peppery bitterness on the finish. Lingering notes of cracker, corn, white bread dough, biscuit, wood, pepper, and herbal/floral/grassy earthiness on the finish for a good bit. Nice robustness and balance of pale malt/grains and light earthy hop flavors; with a nice malt/bitterness balance and no cloying/astringent flavors after the finish. Fairly crisp/clean finishing. Very clean on lager flavors, not overly fruity/yeasty. Light-moderate increasing dryness from lingering bitterness and carbonation. Medium-high carbonation and light-medium body; with a very smooth, moderately bready/grainy, and fairly sticky mouthfeel that is good. Thin but not too watery finish. Zero warming alcohol for 5.9%. Overall this is a pretty good iced pale adjunct lager style. All around good robustness and balance of pale malt/grains and light earthy hop flavors; very smooth and fairly crisp/clean/refreshing to drink with the mildly bitter/drying finish. Nice clean pale malt/grain showcase, with solid earthy hop presence/balance for the style. Minimal residual sweetness with crisp dryness. Not too overdone on adjuncts. A nicely enjoyable offering, and well made style example.",superspak,La Crosse
59,Le Grimoire La Noirceur,4.3,"Granby, Quebec","Acheté au marchè Dessaules à St-Hyacinthe. D’une grande noirceur, cette bière produit la plus belle mousse brune que j’ai vu jusqu’à présent. Celle-ci est peu persistante. Au nez, c’est évidemment très chocolaté. En bouche. le chocolat prend une énorme place, plus qu’à l’habitude même. Je perçois malgré tout un petit côté fruité rappelant la cerise. Il s’agit presque d’une pinte de lait au chocolat... J’ADORE. Beau travail du Grimoire.",MingLeSage,Granby
60,Stillwater Gose Gone Hopped,1.7,"Baltimore, Maryland","This is some rough stuff. Definitely not my thing. On the positive side, it's a very pretty beer. Deeply hazy straw yellow with a thick ice cream rocky head that leaves levees of thick lace. The aroma is pretty gross. Lots of cellar must, sea water, rotten grains., lemon, and hops. Flavors are not much better, and along similar lines but with a gym sweat and citrus fade.",freekyp,Baltimore
61,Firestone Walker Mind Haze,1.6,"Paso Robles, California","So, firestone's finally gittin round these parts. Its odd, because; right up the street we have the Firestone farms which is right next to the Firestone tires proving ground, go figger, you'd think somebody round here would have used the name first instead of some jokesters from the happy go lucky C state. This thing has a pour which is a somewhat hazy brew but probably not as muddy as a NE IPA should be. Maybe its all settled in the bottom of the can, heheh. Sharp IPA nose. Taste is what else? Its simply perfumy IPA all the way, I made a rhyme, gimmie a dime. At least it doesn't smell like BO or diesel. There, you have it; some kinda of IPA which is right in yer face, terribly on style.  What else can be said? Except its really hoopy hoppy bitter? Duh. Not impressed, this is so much just like so many other ubiquitous IPA's. There is a ton of these mahfahs.",cheap,Paso Robles
62,Marston's Pedigree Six (Bottle),0.7,"Burton-on-Trent, Staffordshire","500ml bottle from Tesco, Watford and drunk on 24/03/2007.  Just super grim.  All the worst things about pasteurised, overly sweet bitters, then amped up with (probably more brewing sugar) to get a totally unbalanced level of alcohol.  Tasted like 6% going on 60%.",Beese,Burton-on-Trent
63,Craftwerk Dark Season,4.3,"Bitburg, Rhineland-Palatinate",Har en del sødme men ikke ret meget stuotsmag. Den har lidt kaffenoter og en meget svag humle.,nybol,Bitburg
64,Abita Lounging Iguanas,1.5,"Abita Springs, Louisiana","Shorter stubby bottle. First taste is almost friendly fruity candy, with a bitter bite. Yes, somebody accidentally left the peels on these green unripened citrus fruits. Nice and hazy on pale is the eye. In the middle it starts to get unruly and sweet as well as perfumy, a little cloying. Yes, coconut and pineapple does not help here.  Yes, this is what seems to be an aged IPA turned into a fruity. Rude ass finish, fer sher. In the end it almost wants to be one of those holiday spiced beers. Did not enjoy, just a tick. Tropical its not.",cheap,Abita Springs
65,Steam Brew Session IPA,1.5,"Neckarsulm, Baden-Württemberg","Bardzo obfita, średnio pęcherzykowa, dziurawiąca się piana z lacingiem, bielutka i stylowa. 
Wygląd również bez zarzutu, opalizujące, bursztynowe. 
W aromacie są cytrusy, są jakieś chmiele, bergamotka, winogrona, bardzo spoko zapach, gdyby nie to, że bardziej niż chmiele czuć słody i diacetyl. 
W smaku zupełnie puste, trochę owocowe, w stronę gruszki/winogrona, ale bardzo wodniste. Żadnej goryczki, wysycenie niskie. Raczej zlew.",bartlomiejkisil,Neckarsulm
66,Jolly Pumpkin Bam Noire,1.4,"Dexter, Michigan","Served from 375 ml bottle in tulip glass. A thick tan had drops slowly with mild lacing. Color is cloudy copper-brown. Aroma dominated by vinegar with yeasty malt background. Mouthfeel is light to medium, extremely carbonated. Flavor is unpleasant vinegar and overwhelming tartness. Not picking up any typical farmhouse ale flavors with this. Overall: I hope the sample I had was off somehow, because I could not finish this beer. Just too sour and tasted like a glass of vinegar.",foyle,Dexter
67,Founders Azacca IPA,2,"Grand Rapids, Michigan","Can at home. The beer poured brownish and was q quite malty., hoppy, tropical frui to me this was too malty for met",Beerwithwings,Grand Rapids
68,Elgoods Double Swan (Bottle),4.7,"Wisbech, Cambridgeshire","A beautifully made beer, thirst quenching and very satisfying on the palate, well done Elgood's !",MaltTickers61,Wisbech
69,Pabst Blue Ribbon,4.8,"Los Angeles, California",It is what a German beer should taste like. A great beer to start with. German friends say it is an authentic German beer.,LagerChecker34,Los Angeles
70,Market Garden Festivus Ale,1.4,"Cleveland, Ohio","Clear amber. Smells plenty of spices. Yes, even before I drink it, I'm alarmed. Taste is as expected, heavy on the spices, so much so you may not even be able to tell its a beer, except but maybe perhaps for the warming sensation that follows each slug down the gullet. Difficult downer, negative nellie, holiday hozer. Way to much personality for this lager lover. Oh well, its another dizzying tick. Medicinal finish. Not this one again. What's up with these overly spiced holiday brews? Who could luv these bastards?",cheap,Cleveland
71,Erdinger Alkoholfrei (Non-Alcoholic),0.7,"Erding, Bavaria","Flaska från livsmedelsbutik. Mycket och tunt skum. Sötaktig, fruktsmakande vätska. Ett slags vört-jos mer än ett öl.",avslagen,Erding
72,Stone Ruination Double IPA 2.0 Sans Filtre,2.1,"Escondido, California","[email protected], Tampere, Finland. Compared to the original US produced version this is light years behind. Unbalanced, lame nuances of malts, overaged hops and some cardboard. Even not too unfiltered. 4 2 4 3 8",Turboninja,Escondido
73,Blue Point Toasted Lager,4.7,"Patchogue, New York","Great balance, caramel flavors.  Not too strong.  I could have this beer all night",gabillo,Patchogue
74,La Cumbre BEER,5,"Albuquerque, New Mexico","I don't know if this is technically a pilsner, but regardless it's my favorite pilsner.  Perfectly balanced and very refreshing.  Exactly what you want from this type of beer.",IBUMaestro45,Albuquerque
75,Summit Sága IPA,0.7,"St. Paul, Minnesota","Can taste the alcohol, not great flavor profile. The hops are drowned out by the higher ABV content. 

Summit's EPA is great but this doesn't compare.",donbrewski,St. Paul
76,Swilled Dog Walk The Dog,1.2,"Franklin, West Virginia","12 ounce can from Kroger Beckley, WV, 1/16/20. Hazy orange, thin creamy white head. Aroma of tart apple and apple cider vinegar. I think this is off. Taste is basically straight vinegar. Definitely bad. Sad.",Drake,Franklin
77,Anarchy Tyne and Fear,1.5,"Newcastle upon Tyne , Tyne & Wear","Tap (Euston Tap, London) (4:1:3:1:6=1.5)
Ugly grapefruit juice look, a bit grey, and no head. Dirty aroma, yeasty, a touch fruity. Slimy palate, and dead in the mouth, I want to scrape my tongue. Horrid dirty yeasty taste. This is just trub, this is the shit you should have thrown away.",FatPhil,Newcastle upon Tyne 
78,ZiegenBock Texas Amber,4.2,"Houston, Texas","Smooth, could drink on this all day watching football. Could be a possible Friday beer with the boys",brandonritchie,Houston
79,Peabody Heights Old Oriole Park Bohemian,1.2,"Baltimore, Maryland",Not much of a Bohemian pils. Just some mash malt. Pours golden with ok head. Tangy cloying finish. Tap at Doghaus.,solidfunk,Baltimore
80,Steam Whistle Pilsner,5,"Toronto, Ontario","Malty sweetness with pleasant bitterness that finishes crisp and clean. A Canadian classic, super easy drinking, and one of my favourite beers to sip any time of the year. Tried the unfiltered at the end of the tour at their brewery in Toronto, equally delicious!",SampleLegion45,Toronto
81,Vauclair Choue Blonde,4.9,"Giey-sur-Aujon, France","L'une des meilleures bières que j'ai pu goûter.

- Biere 100% française 
- Style Biere de garde 100% français 
- Non filtrée donc évolutive 
- Non pasteurisée façon moyen age 


Je la préfère aux traditionnelles JENLAIN que je trouve plus mousseuses mais moins fort en goût voir même plus clair que la robuste trouble Choue a l'ancienne.",CaskReports44,Giey-sur-Aujon
82,Hallesches Hallsch,1.1,"Halle/Saale, Saxony-Anhalt","Draught in March 2019. Sweet, lots of sweet corn, additionally crayons as it warms up. Almost nothing to be felt besides the terrible flaws. An absolute disaster.",ElDesmadre,Halle/Saale
83,The Tank El Farito,1.7,"Miami, Florida","Keg at Man in The Moon, Stockholm.  Cloudy golden, small head. Restrained citrus aroma. Mid dry with medium body and clean, sharp mouthfeel. Notes of mango and chlorine. Sharp metallic finish with slight hop burn. Edges everywhere, flavors are scarce.",omhper,Miami
84,Saint Archer Gold,4.7,"San Diego, California","Saint Archer Gold has a thick, white head, a clear, bubbly, straw appearance, and no glass lacing. The aroma is of sweet, musty grains, and the flavor is similar, with a touch of bitterness. Mouthfeel is light to medium, and Saint Archer Gold finishes crisp and refreshing. RJT",ronaldtheriot,San Diego
85,Saxby's Original Cider - Sweet,4.8,"Wellingborough, Northamptonshire","Medium to sweet, not sweet in my opinion.  For me this really hits the spot and has a light refreshing flavour with good, lingering appley after-taste.    (As a cava drinker, this also has perfect level of carbonation for me.)",TasteTamer17,Wellingborough
86,Twisted X Chupahopra,5,"Dripping Springs, Texas",Now I can feel the ibu 60 beer a litter bitter. But the aroma exceed the bitterness.,beer3000,Dripping Springs
